"ΝΟΜΑΡΧΙΑ","ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ","ΔΗΜΟΣ (Καλλικράτειος)","ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ","ΔΗΜΟΤΙΚΟ ΔΙΑΜΕΡΙΣΜΑ","ΕΚΛΟΓΙΚΟ ΔΙΑΜΕΡΙΣΜΑ","ΣΥΝΟΙΚΙΣΜΟΣ","ΠΛΗΘΟΣ ΕΚΛΟΓΕΩΝ"
ΑΘΗΝΩΝ,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΙΓΑΛΕΩ,ΑΙΓΑΛΕΩ,,2ο  ΕΚΛΟΓΙΚΟ ΔΙΑΜΕΡΙΣΜΑ,,"6,696"
ΑΘΗΝΩΝ,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΙΓΑΛΕΩ,ΑΙΓΑΛΕΩ,,3ο  ΕΚΛΟΓΙΚΟ ΔΙΑΜΕΡΙΣΜΑ,,"6,947"
ΑΘΗΝΩΝ,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΙΓΑΛΕΩ,ΑΙΓΑΛΕΩ,,4ο  ΕΚΛΟΓΙΚΟ ΔΙΑΜΕΡΙΣΜΑ,,"6,296"
ΑΘΗΝΩΝ,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΙΓΑΛΕΩ,ΑΙΓΑΛΕΩ,,5ο  ΕΚΛΟΓΙΚΟ ΔΙΑΜΕΡΙΣΜΑ,,"5,981"
ΑΘΗΝΩΝ,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΙΓΑΛΕΩ,ΑΙΓΑΛΕΩ,,6ο  ΕΚΛΟΓΙΚΟ ΔΙΑΜΕΡΙΣΜΑ,,"5,457"
ΑΘΗΝΩΝ,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΙΓΑΛΕΩ,ΑΙΓΑΛΕΩ,,7ο  ΕΚΛΟΓΙΚΟ ΔΙΑΜΕΡΙΣΜΑ,,"5,544"
ΑΘΗΝΩΝ,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΙΓΑΛΕΩ,ΑΙΓΑΛΕΩ,,8ο  ΕΚΛΟΓΙΚΟ ΔΙΑΜΕΡΙΣΜΑ,,"5,466"
ΑΘΗΝΩΝ,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΙΓΑΛΕΩ,ΑΙΓΑΛΕΩ,,9ο  ΕΚΛΟΓΙΚΟ ΔΙΑΜΕΡΙΣΜΑ,,"6,125"
ΑΘΗΝΩΝ,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΙΓΑΛΕΩ,ΑΙΓΑΛΕΩ,,10ο ΕΚΛΟΓΙΚΟ ΔΙΑΜΕΡΙΣΜΑ,,"5,547"
ΑΘΗΝΩΝ,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΙΛΙΟΥ (ΝΕΩΝ ΛΙΟΣΙΩΝ),ΙΛΙΟΥ (ΝΕΩΝ ΛΙΟΣΙΩΝ),,1ο ΔΙΑΜ.,,"8,875"
ΑΘΗΝΩΝ,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΙΛΙΟΥ (ΝΕΩΝ ΛΙΟΣΙΩΝ),ΙΛΙΟΥ (ΝΕΩΝ ΛΙΟΣΙΩΝ),,2ο ΔΙΑΜ.,,"10,039"
ΑΘΗΝΩΝ,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΙΛΙΟΥ (ΝΕΩΝ ΛΙΟΣΙΩΝ),ΙΛΙΟΥ (ΝΕΩΝ ΛΙΟΣΙΩΝ),,3ο ΔΙΑΜ.,,"7,522"
ΑΘΗΝΩΝ,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΙΛΙΟΥ (ΝΕΩΝ ΛΙΟΣΙΩΝ),ΙΛΙΟΥ (ΝΕΩΝ ΛΙΟΣΙΩΝ),,4ο ΔΙΑΜ.,,"11,348"
ΑΘΗΝΩΝ,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΙΛΙΟΥ (ΝΕΩΝ ΛΙΟΣΙΩΝ),ΙΛΙΟΥ (ΝΕΩΝ ΛΙΟΣΙΩΝ),,5ο ΔΙΑΜ.,,"10,066"
ΑΘΗΝΩΝ,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΠΕΡΙΣΤΕΡΙΟΥ,ΠΕΡΙΣΤΕΡΙΟΥ,1ο Δημ.Διαμ.,1ο Εκλογικό Διαμέρισμα,,"14,891"
ΑΘΗΝΩΝ,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΠΕΡΙΣΤΕΡΙΟΥ,ΠΕΡΙΣΤΕΡΙΟΥ,1ο Δημ.Διαμ.,2ο Εκλογικό Διαμέρισμα,,"11,022"
ΑΘΗΝΩΝ,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΠΕΡΙΣΤΕΡΙΟΥ,ΠΕΡΙΣΤΕΡΙΟΥ,2ο Δημ.Διαμ.,3ο Εκλογικό Διαμέρισμα,,"9,242"
ΑΘΗΝΩΝ,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΠΕΡΙΣΤΕΡΙΟΥ,ΠΕΡΙΣΤΕΡΙΟΥ,2ο Δημ.Διαμ.,4ο Εκλογικό Διαμέρισμα,,"11,582"
ΑΘΗΝΩΝ,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΠΕΡΙΣΤΕΡΙΟΥ,ΠΕΡΙΣΤΕΡΙΟΥ,2ο Δημ.Διαμ.,5ο Εκλογικό Διαμέρισμα,,"9,002"
ΑΘΗΝΩΝ,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΠΕΡΙΣΤΕΡΙΟΥ,ΠΕΡΙΣΤΕΡΙΟΥ,3ο Δημ.Διαμ.,6ο Εκλογικό Διαμέρισμα,,"11,250"
ΑΘΗΝΩΝ,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΠΕΡΙΣΤΕΡΙΟΥ,ΠΕΡΙΣΤΕΡΙΟΥ,3ο Δημ.Διαμ.,7ο Εκλογικό Διαμέρισμα,,"8,876"
ΑΘΗΝΩΝ,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΠΕΡΙΣΤΕΡΙΟΥ,ΠΕΡΙΣΤΕΡΙΟΥ,3ο Δημ.Διαμ.,8ο Εκλογικό Διαμέρισμα,,"9,239"
ΑΘΗΝΩΝ,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΠΕΡΙΣΤΕΡΙΟΥ,ΠΕΡΙΣΤΕΡΙΟΥ,4ο Δημ.Διαμ.,9ο Εκλογικό Διαμέρισμα,,"12,644"
